,block_id,gadm_code,country_code,block_area,building_area,building_count,building_layers,k_complexity
142,GAB.1.1_1_142,GAB.1.1_1,GAB,8012291.37,0.0,0,0,1
143,GAB.1.1_1_143,GAB.1.1_1,GAB,24668878.48,0.0,0,0,1
144,GAB.1.1_1_144,GAB.1.1_1,GAB,2558337.07,0.0,0,0,1
145,GAB.1.1_1_145,GAB.1.1_1,GAB,1446701.01,0.0,0,0,1
146,GAB.1.1_1_146,GAB.1.1_1,GAB,9957422.92,0.0,0,0,1
147,GAB.1.1_1_147,GAB.1.1_1,GAB,33157640.55,0.0,0,0,1
148,GAB.1.1_1_148,GAB.1.1_1,GAB,33015108.61,0.0,0,0,1
149,GAB.1.1_1_149,GAB.1.1_1,GAB,141724026.73,0.0,47,"27,17,3",3
150,GAB.1.1_1_150,GAB.1.1_1,GAB,5319772.61,0.0,0,0,1
151,GAB.1.1_1_151,GAB.1.1_1,GAB,2372131.23,0.0,0,0,1
152,GAB.1.1_1_152,GAB.1.1_1,GAB,17783979.63,0.0,0,0,1
153,GAB.1.1_1_153,GAB.1.1_1,GAB,13579070.86,0.0,0,0,1
154,GAB.1.1_1_154,GAB.1.1_1,GAB,7658225.49,0.0,0,0,1
155,GAB.1.1_1_155,GAB.1.1_1,GAB,23138280.37,0.0,90,"16,28,26,18,2",5
156,GAB.1.1_1_156,GAB.1.1_1,GAB,60337023.37,0.0,0,0,1
157,GAB.1.1_1_157,GAB.1.1_1,GAB,1731343444.67,0.0,0,0,1
158,GAB.1.1_1_158,GAB.1.1_1,GAB,15760.53,0.0,0,0,1
159,GAB.1.1_1_159,GAB.1.1_1,GAB,304879641.93,0.0,24,"7,10,7",3
160,GAB.1.1_1_160,GAB.1.1_1,GAB,581889.21,0.0,0,0,1
161,GAB.1.1_1_161,GAB.1.1_1,GAB,2936143.3,0.0,0,0,1
162,GAB.1.1_1_162,GAB.1.1_1,GAB,3625680.89,0.0,0,0,1
163,GAB.1.1_1_163,GAB.1.1_1,GAB,52815705.18,0.0,0,0,1
164,GAB.1.1_1_164,GAB.1.1_1,GAB,9714458.48,0.0,0,0,1
165,GAB.1.1_1_165,GAB.1.1_1,GAB,15130208.28,0.0,0,0,1
166,GAB.1.1_1_166,GAB.1.1_1,GAB,14647512.15,0.0,0,0,1
167,GAB.1.1_1_167,GAB.1.1_1,GAB,21595226.96,0.0,0,0,1
168,GAB.1.1_1_168,GAB.1.1_1,GAB,1534444.52,0.0,0,0,1
169,GAB.1.1_1_169,GAB.1.1_1,GAB,7669150.87,0.0,0,0,1
170,GAB.1.1_1_170,GAB.1.1_1,GAB,72068.6,0.0,0,0,1
171,GAB.1.1_1_171,GAB.1.1_1,GAB,37732.0,0.0,0,0,1
172,GAB.1.1_1_172,GAB.1.1_1,GAB,44352790.6,0.0,0,0,1
173,GAB.1.1_1_173,GAB.1.1_1,GAB,81433099.35,0.0,9,"8,1",2
174,GAB.1.1_1_174,GAB.1.1_1,GAB,3534439.19,0.0,0,0,1
175,GAB.1.1_1_175,GAB.1.1_1,GAB,521944.53,0.0,0,0,1
176,GAB.1.1_1_176,GAB.1.1_1,GAB,17885.5,0.0,0,0,1
177,GAB.1.1_1_177,GAB.1.1_1,GAB,768060.11,0.0,0,0,1
178,GAB.1.1_1_178,GAB.1.1_1,GAB,28742.58,0.0,0,0,1
179,GAB.1.1_1_179,GAB.1.1_1,GAB,25427.65,0.0,0,0,1
180,GAB.1.1_1_180,GAB.1.1_1,GAB,20298410.44,0.0,0,0,1
181,GAB.1.1_1_181,GAB.1.1_1,GAB,151336655.54,0.0,50,"25,16,9",3
182,GAB.1.1_1_182,GAB.1.1_1,GAB,11418.33,0.0,0,0,1
183,GAB.1.1_1_183,GAB.1.1_1,GAB,1103731.82,0.0,0,0,1
184,GAB.1.1_1_184,GAB.1.1_1,GAB,69272514.6,0.0,94,"52,38,4",3
185,GAB.1.1_1_185,GAB.1.1_1,GAB,1180053.11,0.0,0,0,1
186,GAB.1.1_1_186,GAB.1.1_1,GAB,104106370.94,0.0,172,"20,40,42,29,21,17,3",7
187,GAB.1.1_1_187,GAB.1.1_1,GAB,138.91,0.0,0,0,1
188,GAB.1.1_1_188,GAB.1.1_1,GAB,7542.87,0.0,0,0,1
189,GAB.1.1_1_189,GAB.1.1_1,GAB,84164.99,0.0,0,0,1
190,GAB.1.1_1_190,GAB.1.1_1,GAB,2026544.98,0.0,0,0,1
191,GAB.1.1_1_191,GAB.1.1_1,GAB,44234359.39,0.0,37,"26,11",2
192,GAB.1.1_1_192,GAB.1.1_1,GAB,12620174.38,0.0,0,0,1
193,GAB.1.1_1_193,GAB.1.1_1,GAB,21541291.16,0.0,0,0,1
194,GAB.1.1_1_194,GAB.1.1_1,GAB,3858202.98,0.0,0,0,1
195,GAB.1.1_1_195,GAB.1.1_1,GAB,34121908.68,0.0,31,"16,12,3",3
196,GAB.1.1_1_196,GAB.1.1_1,GAB,2485033.74,0.0,44,"23,20,1",3
197,GAB.1.1_1_197,GAB.1.1_1,GAB,4244344.23,0.0,0,0,1
198,GAB.1.1_1_198,GAB.1.1_1,GAB,7524497.17,0.0,70,"32,31,7",3
199,GAB.1.1_1_199,GAB.1.1_1,GAB,27595400.97,0.0,0,0,1
200,GAB.1.1_1_200,GAB.1.1_1,GAB,29849710.36,0.0,0,0,1
201,GAB.1.1_1_201,GAB.1.1_1,GAB,13299180.22,0.0,0,0,1
202,GAB.1.1_1_202,GAB.1.1_1,GAB,1092675.51,0.0,0,0,1
203,GAB.1.1_1_203,GAB.1.1_1,GAB,6792622.65,0.0,0,0,1
204,GAB.1.1_1_204,GAB.1.1_1,GAB,17224.18,0.0,0,0,1
205,GAB.1.1_1_205,GAB.1.1_1,GAB,433377.74,0.0,0,0,1
206,GAB.1.1_1_206,GAB.1.1_1,GAB,58122.19,0.0,0,0,1
207,GAB.1.1_1_207,GAB.1.1_1,GAB,194469.29,0.0,0,0,1
208,GAB.1.1_1_208,GAB.1.1_1,GAB,11827351.52,0.0,0,0,1
209,GAB.1.1_1_209,GAB.1.1_1,GAB,7384114.12,0.0,7,"6,1",2
210,GAB.1.1_1_210,GAB.1.1_1,GAB,86367983.28,0.0,178,"58,67,42,11",4
211,GAB.1.1_1_211,GAB.1.1_1,GAB,12555776.42,0.0,103,"44,43,16",3
212,GAB.1.1_1_212,GAB.1.1_1,GAB,145862585.01,0.0,161,"41,49,43,24,4",5
213,GAB.1.1_1_213,GAB.1.1_1,GAB,4818.09,0.0,0,0,1
214,GAB.1.1_1_214,GAB.1.1_1,GAB,858736.35,0.0,1,1,1
215,GAB.1.1_1_215,GAB.1.1_1,GAB,81715.15,0.0,0,0,1
216,GAB.1.1_1_216,GAB.1.1_1,GAB,88194264.95,0.0,73,"13,20,22,14,4",5
217,GAB.1.1_1_217,GAB.1.1_1,GAB,3539689.9,0.0,0,0,1
218,GAB.1.1_1_218,GAB.1.1_1,GAB,18554503.25,0.0,0,0,1
219,GAB.1.1_1_219,GAB.1.1_1,GAB,208299.5,0.0,3,3,1
